storyid,char,context,sentence,emotion_chain,need_chain
821e571e-828d-4042-9681-100af54452ec,Daddy,"Rick asked his daddy to give him pizza. Rick danced excitedly as his daddy placed the pizza in the oven. He wanted to touch the oven, but daddy said it was hot.","['none', 'none', 'fear', 'none', 'none']","['none', 'physiological', 'stability', 'none', 'none']"
7ae6463c-a354-4a6b-aa0b-16098ce766d1,Bob,"Bob had always wanted to be a farmer. When he was 18, he moved to Nebraska. He got a loan from the bank to buy some land. After several weeks, he realized he hated growing crops. Bob turned tail and headed home from Nebraska.","['anticipation', 'anticipation', 'joy', 'anticipation', 'anger']","['stability', 'spiritual growth', 'spiritual growth', 'none', 'spiritual growth']"
977e3067-c0a7-4d96-9b5d-c2cd6330b952,Ally,Ally is afraid of ghosts. She sleeps with her light on every night. Last night she heard footsteps in her hallway. She timidly opened her door. It was her brother walking to the kitchen for a midnight snack.,"['fear', 'fear', 'fear', 'fear', 'joy']","['stability', 'stability', 'none', 'stability', 'none']"
e08d5d0c-62fa-42f3-b075-79cd62fbbba5,His girlfriend,Adam and his girlfriend have been together for 5 years. Lately Adam just isn't feeling like he wants to be with her anymore. One evening he takes his girlfriend out. While eating he tells her it's best if they don't date anymore. Adam tells her it's been fun but it.,"['joy', 'none', 'fear', 'sadness', 'sadness']","['none', 'none', 'love', 'love', 'love']"
4a4cfeaa-4b41-4ff1-81ec-a93fdc79b9ff,Kate,Kate always recycles. She would crush all her cans. One day she slipped and cut her hand bad. She stopped crushing her cans. She just recycles them whole now.,"['joy', 'joy', 'fear', 'fear', 'fear']","['none', 'stability', 'none', 'stability', 'stability']"
4e963a83-86f7-4fb0-a5b2-a3fd2bac7509,Friend musician,"Lamar wanted to be famous, and becoming famous was easy. His mother knew a music producer that made stars out of people. Lamar told a friend musician Lamar was moving to Hollywood. Five Years later, Lamar was the biggest musician in the world. Lamar saw his old friend and said, got seventy-five dollars on you?","['none', 'none', 'surprise', 'joy', 'surprise']","['none', 'none', 'spiritual growth', 'none', 'none']"
e7b5b34b-eb51-48ab-8eb4-86953ff525fd,Friend,I listened to the song Monster by Jacob Banks today. I really enjoyed it so I decided to learn the words. I started singing it everywhere. My friend came up to me and asked what the song was and I told him.,"['none', 'none', 'none', 'joy', 'none']","['none', 'none', 'none', 'none', 'spiritual growth']"
c3b2dcdf-57c3-423e-b1c4-c0c27e3e2b10,People,"Back in the early 2000s I was opposed to text messaging. People butchered their messages just to save a few characters. As mobile devices advanced, people went back to full-length messages. Now I love using text messages as a quick email alternative.","['none', 'anticipation', 'joy', 'joy', 'none']","['none', 'none', 'love', 'none', 'none']"
77458486-6bcc-4ab5-968b-08f1d4dbd297,The lady,"The lady heard a peculiar noise. She looked around and saw a parrot talking to her! She approached the bird and he started yelling at her. She was embarrassed and kind of scared. The bird yelled again, so she ran away.","['fear', 'surprise', 'surprise', 'fear', 'fear']","['none', 'none', 'none', 'none', 'stability']"
4aafea57-1977-45f5-9168-bf0a76345e82,Friends,Tim didn't like rollercoasters. He tried to get on one with friends. At the last minute he chickened out. All of Tim's friend's made fun of him.,"['none', 'fear', 'joy', 'surprise', 'none']","['none', 'none', 'none', 'love', 'none']"
621a22c2-3a5e-49f3-b6a1-3c6389f407b2,Tom,Tom's computer started slowing down. He tried a few software fixed but nothing worked. Tom decided to buy more ram. He got what he needed online at a cheap price. He replaced it himself easily.,"['surprise', 'sadness', 'joy', 'joy', 'joy']","['none', 'none', 'stability', 'none', 'none']"
6bcc42df-d207-49bf-9950-267ad2231d45,Lisa,"Lisa had no clean clothes so she decided to do laundry. She piled all of her whites into the washer. When the buzzer dinged, she opened the washer and saw pink! A red sock had been hidden in the load and dyed the clothes. Now all of Lisa's clothes are ruined.","['none', 'disgust', 'surprise', 'disgust', 'sadness']","['esteem', 'physiological', 'stability', 'stability', 'stability']"
cae91f20-e034-46f7-b8a9-6d835972b04b,I (myself),Our relationship confuses me. We got into another argument. He accused me of not working hard. I explained my computer was being slow. He refused to listen and shut me out.,"['surprise', 'fear', 'none', 'sadness', 'anger']","['none', 'love', 'none', 'esteem', 'none']"
22236427-0d25-4d1c-9dd9-ba32e487283f,I (myself),The clouds are covering the sky today. It makes me a bit gloomy and sad. The rainy started to trickle on the windows. I will stay in my pajamas and cuddle under the covers. The rainy day is not fun.,"['none', 'sadness', 'sadness', 'trust', 'sadness']","['none', 'none', 'none', 'stability', 'none']"
b114f176-18a5-479d-8010-db8f6aed1b7e,I (myself),This year I plowed my field and with my new tractor. I am getting my tractor ready to plant all of my seeds. This year I am going to plant wheat. I am almost ready to spread the seed. I hope my crop grows strong so I can pay for my new tractor.,"['joy', 'anticipation', 'anticipation', 'anticipation', 'anticipation']","['stability', 'stability', 'spiritual growth', 'spiritual growth', 'stability']"
2a750ad3-1c90-465b-bd62-caaa0a27c7f2,Gina,Gina was getting on the highway. She could see the traffic was barely moving. And as she approached the on-ramp signal stood red. Gina sat at the red light for 2 minutes before getting a green one. Finally she was able to get on the highway to drive home.,"['none', 'anger', 'anger', 'anticipation', 'joy']","['none', 'none', 'none', 'stability', 'stability']"
43eb459b-79c4-4eaf-ae8e-8812013c6529,Sherry's husband,"Sherry was planning a gender reveal party for her baby. She didn't know the gender, but her husband did. One night her husband accidentally mentioned it was a boy. Sherry was shocked and upset at the slip up. At the party, she cut open a cake and was shocked to see a pink cake!","['none', 'joy', 'fear', 'sadness', 'joy']","['none', 'spiritual growth', 'none', 'none', 'none']"
2e89aba6-a70a-489c-96bf-8a00c6e62e90,Marty,"Mark purchased two tickets for the nine o'clock show. Mary saw him exit the line and headed to the concession. Mark joined Mary on the concession stand line. When it was their turn, they ordered refreshments. Mark and Marty took their snacks into the theater.","['none', 'none', 'none', 'none', 'joy']","['none', 'none', 'none', 'none', 'physiological']"
